trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2497020,27,2,"W. Stadium - Oak Valley to Meijer",,1,3002,shp-27-52,1,1
701020,28,2,"28 Pauline to BTC",,0,3202,shp-28-10,1,1
3069020,4,2,"Washtenaw to YTC",,1,6402,shp-4-55,1,1
2655070,25,3,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3807,shp-25-52,1,1
2085020,30,2,"Jackson Rd to Meijer: Jackson Rd",,1,3702,shp-30-05,1,1
1726020,43,2,"E Michigan Ave to Holmes & Ridge",,1,7602,shp-43-02,1,1
635020,62,2,"62 UM State to CCTC",,1,9602,shp-62-06,1,1
2393020,42,2,"Forest - MacArthur to MacArthur & Harris",,1,6602,shp-42-03,1,1
2222020,33,2,"Newport to Blake Transit Ctr",,0,4002,shp-33-01,1,1
2056070,23,3,"Plymouth to Green Rd P&R",,1,3507,shp-23-61,1,1
2907010,25,1,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3301,shp-25-52,1,1
926020,28,2,"Pauline to Maple & Pennsylvania",,1,2002,shp-28-12,1,1
2580020,24,2,"Eisenhower - Golfside to Blake Transit Ctr",,0,802,shp-24-01,1,1
1875070,42,3,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,6607,shp-42-52,1,1
687010,42,1,"Forest - MacArthur to MacArthur & Harris",,1,6501,shp-42-03,1,1
58020,4,2,"Washtenaw to YTC",,1,5702,shp-4-55,1,1
876010,22,1,"Pontiac - Dhu Varren to Pierpont Commons",,1,101,shp-22-04,1,1
2147020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1502,shp-31-04,1,1
2811020,27,2,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3102,shp-27-04,1,1
2150020,25,2,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3002,shp-25-09,1,1
34020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1502,shp-31-04,1,1
1311020,3,2," Huron River to BTC",,0,7102,shp-3-03,1,1
126010,4,1,"Washtenaw to YTC",,1,4801,shp-4-55,1,1
342070,4,3,"Washtenaw to YTC",,1,1507,shp-4-55,1,1
2344010,4,1,"Washtenaw to YTC",,1,4901,shp-4-55,1,1
1208020,27,2,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3202,shp-27-04,1,1
2567020,4,2,"Washtenaw to BTC",,0,5702,shp-4-06,1,1
217020,29,2,"Liberty to Blake Transit Ctr",,0,1802,shp-29-01,1,1
2106070,29,3,"Liberty to Blake Transit Ctr",,0,1507,shp-29-01,1,1
